"Taxon_Id","Kingdom","Class","Family","Scientific_name","Common_name","Taxon_author","NCA_status","EPBC_status","Significant","Endemicity"
706,"animals","amphibians","Limnodynastidae","Adelotus brevis","tusked frog","(Günther, 1863)","V",,"Y","QA"
687,"animals","amphibians","Limnodynastidae","Kyarranus kundagungan","red-and-yellow mountainfrog","(Ingram & Corben, 1975)","V",,"Y","QA"
688,"animals","amphibians","Limnodynastidae","Kyarranus loveridgei","masked mountainfrog","(Parker, 1940)","C",,,"QA"
690,"animals","amphibians","Limnodynastidae","Lechriodus fletcheri","black soled frog","(Boulenger, 1890)","C",,,"QA"
677,"animals","amphibians","Limnodynastidae","Limnodynastes convexiusculus","marbled frog","(MacLeay, 1877)","C",,,"QAI"
678,"animals","amphibians","Limnodynastidae","Limnodynastes dumerilii","grey bellied pobblebonk","Peters, 1863","C",,,"QA"
679,"animals","amphibians","Limnodynastidae","Limnodynastes fletcheri","barking frog","Boulenger, 1888","C",,,"QA"
681,"animals","amphibians","Limnodynastidae","Limnodynastes peronii","striped marshfrog","(Duméril & Bibron, 1841)","C",,,"QA"
682,"animals","amphibians","Limnodynastidae","Limnodynastes salmini","salmon striped frog","Steindachner, 1867","C",,,"QA"
684,"animals","amphibians","Limnodynastidae","Limnodynastes tasmaniensis","spotted grassfrog","Günther, 1858","C",,,"QA"
673,"animals","amphibians","Limnodynastidae","Limnodynastes terraereginae","scarlet sided pobblebonk","Fry, 1915","C",,,"QA"
664,"animals","amphibians","Limnodynastidae","Neobatrachus aquilonius","rattling frog","Tyler, Davies & Martin, 1981","C",,,"QA"
667,"animals","amphibians","Limnodynastidae","Neobatrachus sudellae","meeowing frog","(Lamb, 1911)","C",,,"QA"
668,"animals","amphibians","Limnodynastidae","Notaden bennettii","holy cross frog","Günther, 1873","C",,,"QA"
669,"animals","amphibians","Limnodynastidae","Notaden melanoscaphus","brown shovelfoot","Hosmer, 1962","C",,,"QA"
670,"animals","amphibians","Limnodynastidae","Notaden nichollsi","desert shovelfoot","Parker, 1940","C",,,"QA"
680,"animals","amphibians","Limnodynastidae","Platyplectrum ornatum","ornate burrowing frog","(Gray, 1842)","C",,,"QA"
18161,"animals","amphibians","Limnodynastidae","Platyplectrum spenceri","desert burrowing frog","(Parker, 1940)","C",,,"QA"
693,"animals","amphibians","Myobatrachidae","Assa darlingtoni","pouched frog","(Loveridge, 1933)","C",,,"QA"
694,"animals","amphibians","Myobatrachidae","Crinia bilingua","bilingual froglet","(Martin, Tyler & Davies, 1980)","C",,,"QA"
695,"animals","amphibians","Myobatrachidae","Crinia deserticola","chirping froglet","(Liem & Ingram, 1977)","C",,,"QA"
696,"animals","amphibians","Myobatrachidae","Crinia parinsignifera","beeping froglet","Main, 1957","C",,,"QA"
697,"animals","amphibians","Myobatrachidae","Crinia remota","northern froglet","(Tyler & Parker, 1974)","C",,,"QAI"
698,"animals","amphibians","Myobatrachidae","Crinia signifera","clicking froglet","(Girard, 1853)","C",,,"QA"
686,"animals","amphibians","Myobatrachidae","Crinia tinnula","wallum froglet","Straughan & Main, 1966","V",,"Y","QA"
30936,"animals","amphibians","Myobatrachidae","Mixophyes carbinensis","Carbine barred frog","Mahony, Donnellan, Richards & McDonald, 2006","C",,,"Q"
30937,"animals","amphibians","Myobatrachidae","Mixophyes coggeri","mottled barred frog","Mahony, Donnellan, Richards & McDonald, 2006","C",,,"Q"
674,"animals","amphibians","Myobatrachidae","Mixophyes fasciolatus","great barred frog","Günther, 1864","C",,,"QA"
675,"animals","amphibians","Myobatrachidae","Mixophyes fleayi","Fleay's barred frog","Corben & Ingram, 1987","E","E","Y","QA"
676,"animals","amphibians","Myobatrachidae","Mixophyes iteratus","giant barred frog","Straughan, 1968","E","E","Y","QA"
30938,"animals","amphibians","Myobatrachidae","Mixophyes schevilli","northern barred frog","Loveridge, 1933","C",,,"Q"
672,"animals","amphibians","Myobatrachidae","Pseudophryne coriacea","red backed broodfrog","Keferstein, 1868","C",,,"QA"
660,"animals","amphibians","Myobatrachidae","Pseudophryne covacevichae","magnificent broodfrog","Ingram & Corben, 1994","V","V","Y","Q"
659,"animals","amphibians","Myobatrachidae","Pseudophryne major","great brown broodfrog","Parker, 1940","C",,,"QA"
661,"animals","amphibians","Myobatrachidae","Pseudophryne raveni","copper backed broodfrog","Ingram & Corben, 1994","C",,,"Q"
648,"animals","amphibians","Myobatrachidae","Rheobatrachus silus","southern gastric brooding frog","Liem, 1973","PE","EX","Y","Q"
650,"animals","amphibians","Myobatrachidae","Rheobatrachus vitellinus","northern gastric brooding frog","Mahony, Tyler & Davies, 1984","E","EX","Y","Q"
651,"animals","amphibians","Myobatrachidae","Taudactylus acutirostris","sharp snouted dayfrog","(Andersson, 1916)","PE","EX","Y","Q"
652,"animals","amphibians","Myobatrachidae","Taudactylus diurnus","southern dayfrog","Straughan & Lee, 1966","PE","EX","Y","Q"
653,"animals","amphibians","Myobatrachidae","Taudactylus eungellensis","Eungella dayfrog","Liem & Hosmer, 1973","E","E","Y","Q"
654,"animals","amphibians","Myobatrachidae","Taudactylus liemi","Eungella tinkerfrog","Ingram, 1980","NT",,"Y","Q"
655,"animals","amphibians","Myobatrachidae","Taudactylus pleione","Kroombit tinkerfrog","Czechura, 1986","E","CE","Y","Q"
656,"animals","amphibians","Myobatrachidae","Taudactylus rheophilus","northern tinkerfrog","Liem & Hosmer, 1973","E","E","Y","Q"
